response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0191,0.0018,0.0000,0.0001,0.0172,0.0000,200,0.0028
0.0254,0.0019,0.0000,0.0000,0.0233,0.0000,200,0.0028
0.0310,0.0003,0.0000,0.0000,0.0263,0.0000,200,0.0038
0.0379,0.0007,0.0000,0.0001,0.0335,0.0000,200,0.0035
0.0442,0.0004,0.0000,0.0000,0.0398,0.0001,200,0.0037
0.0506,0.0005,0.0000,0.0002,0.0461,0.0000,200,0.0036
0.0566,0.0007,0.0000,0.0003,0.0508,0.0000,200,0.0039
0.0623,0.0021,0.0000,0.0001,0.0600,0.0000,200,0.0048
0.0698,0.0004,0.0000,0.0000,0.0656,0.0000,200,0.0035
0.0761,0.0005,0.0000,0.0001,0.0718,0.0000,200,0.0035
0.0823,0.0003,0.0000,0.0002,0.0779,0.0000,200,0.0036
0.0884,0.0004,0.0000,0.0001,0.0837,0.0000,200,0.0038
0.0953,0.0006,0.0000,0.0001,0.0902,0.0000,200,0.0038
0.1017,0.0004,0.0000,0.0001,0.0967,0.0000,200,0.0038
0.1083,0.0006,0.0000,0.0002,0.1030,0.0000,200,0.0038
0.1148,0.0003,0.0000,0.0001,0.1097,0.0000,200,0.0039
0.1212,0.0005,0.0000,0.0001,0.1160,0.0000,200,0.0039
0.1276,0.0003,0.0000,0.0001,0.1223,0.0000,200,0.0041
0.1346,0.0004,0.0000,0.0001,0.1301,0.0000,200,0.0037
0.1413,0.0004,0.0000,0.0001,0.1368,0.0000,200,0.0036
0.1480,0.0006,0.0000,0.0002,0.1434,0.0000,200,0.0036
0.1543,0.0003,0.0000,0.0000,0.1497,0.0000,200,0.0037
0.1606,0.0004,0.0000,0.0002,0.1559,0.0000,200,0.0037
0.1664,0.0015,0.0000,0.0001,0.1591,0.0000,200,0.0043
0.1733,0.0005,0.0000,0.0002,0.1678,0.0000,200,0.0040
0.1796,0.0006,0.0000,0.0003,0.1740,0.0000,200,0.0040
0.1868,0.0067,0.0000,0.0002,0.1800,0.0000,200,0.0030
0.1931,0.0068,0.0000,0.0001,0.1862,0.0000,200,0.0031
0.1965,0.0016,0.0000,0.0001,0.1929,0.0000,200,0.0062
0.2050,0.0006,0.0000,0.0001,0.1991,0.0000,200,0.0042
0.2125,0.0067,0.0000,0.0003,0.2055,0.0000,200,0.0031
0.2185,0.0007,0.0000,0.0003,0.2126,0.0000,200,0.0041
0.2255,0.0066,0.0000,0.0003,0.2186,0.0000,200,0.0032
0.2314,0.0005,0.0000,0.0002,0.2255,0.0000,200,0.0041
0.2387,0.0015,0.0000,0.0001,0.2313,0.0000,200,0.0043
0.2452,0.0081,0.0000,0.0001,0.2369,0.0000,200,0.0033
0.2514,0.0080,0.0000,0.0001,0.2433,0.0000,200,0.0034
0.2573,0.0015,0.0000,0.0001,0.2502,0.0000,200,0.0042
