response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1971,0.0162,0.0000,0.0001,0.1776,0.0001,200,0.0064
0.1972,0.0160,0.0000,0.0004,0.1778,0.0001,200,0.0064
0.4774,0.0384,0.0000,0.0001,0.4388,0.0001,200,0.0146
0.4743,0.0451,0.0000,0.0002,0.4289,0.0000,200,0.0178
0.4858,0.0224,0.0000,0.0001,0.4557,0.0001,200,0.0064
0.4842,0.0188,0.0000,0.0005,0.4649,0.0000,200,0.0080
0.5034,0.0386,0.0000,0.0001,0.4565,0.0000,200,0.0064
0.4986,0.0190,0.0000,0.0001,0.4795,0.0000,200,0.0112
0.4996,0.0156,0.0000,0.0009,0.4830,0.0000,200,0.0105
0.5013,0.0154,0.0000,0.0005,0.4853,0.0000,200,0.0098
0.1037,0.0000,0.0000,0.0000,0.1036,0.0001,200,0.4920
0.5847,0.0191,0.0000,0.0001,0.5654,0.0000,200,0.0113
0.5808,0.0389,0.0000,0.0000,0.5418,0.0001,200,0.0151
0.0968,0.0000,0.0000,0.0000,0.0968,0.0000,200,0.5099
0.5929,0.0371,0.0000,0.0005,0.5552,0.0000,200,0.0141
0.6384,0.0702,0.0000,0.0010,0.5672,0.0000,200,0.0184
0.1568,0.0000,0.0000,0.0000,0.1568,0.0000,200,0.5111
0.6810,0.0389,0.0000,0.0000,0.6420,0.0001,200,0.0149
0.6814,0.0386,0.0000,0.0001,0.6427,0.0000,200,0.0147
0.6810,0.0391,0.0000,0.0002,0.6417,0.0001,200,0.0151
0.6979,0.0697,0.0000,0.0006,0.6276,0.0000,200,0.0186
0.3047,0.0000,0.0000,0.0000,0.3046,0.0001,200,0.5100
0.3229,0.0000,0.0000,0.0000,0.3228,0.0000,200,0.4922
0.8001,0.0390,0.0000,0.0001,0.7606,0.0003,200,0.0151
0.3230,0.0000,0.0000,0.0000,0.3230,0.0000,200,0.4922
0.8008,0.0391,0.0000,0.0001,0.7615,0.0001,200,0.0151
0.8101,0.0392,0.0000,0.0000,0.7625,0.0000,200,0.0064
0.7989,0.0452,0.0000,0.0002,0.7535,0.0000,200,0.0178
0.8104,0.0184,0.0000,0.0006,0.7896,0.0000,200,0.0064
0.8137,0.0388,0.0000,0.0000,0.7748,0.0000,200,0.0148
0.8155,0.0388,0.0000,0.0000,0.7765,0.0000,200,0.0147
0.8150,0.0391,0.0000,0.0003,0.7756,0.0000,200,0.0152
0.8290,0.0394,0.0000,0.0000,0.7895,0.0000,200,0.0153
0.3549,0.0000,0.0000,0.0000,0.3548,0.0000,200,0.4921
0.8410,0.0394,0.0000,0.0000,0.7926,0.0000,200,0.0064
0.8602,0.0385,0.0000,0.0001,0.8216,0.0000,200,0.0146
0.3156,0.0000,0.0000,0.0000,0.3155,0.0000,200,0.5960
0.2437,0.0000,0.0000,0.0000,0.2437,0.0000,200,0.6679
0.8975,0.0390,0.0000,0.0002,0.8584,0.0000,200,0.0152
0.9421,0.0418,0.0000,0.0002,0.9001,0.0000,200,0.0163
0.3624,0.0000,0.0000,0.0000,0.3624,0.0000,200,0.5960
0.9420,0.0428,0.0000,0.0004,0.8988,0.0000,200,0.0164
0.3628,0.0000,0.0000,0.0000,0.3627,0.0000,200,0.5958
0.9547,0.0394,0.0000,0.0000,0.9153,0.0000,200,0.0153
0.9990,0.0391,0.0000,0.0003,0.9508,0.0001,200,0.0064
0.9884,0.0432,0.0000,0.0001,0.9451,0.0000,200,0.0171
0.3995,0.0000,0.0000,0.0000,0.3994,0.0000,200,0.6067
1.0645,0.0404,0.0000,0.0003,1.0238,0.0001,200,0.0157
0.1686,0.0000,0.0000,0.0000,0.1686,0.0000,200,0.9116
1.0738,0.0403,0.0000,0.0002,1.0239,0.0000,200,0.0064
1.0695,0.0459,0.0000,0.0003,1.0232,0.0000,200,0.0177
0.2111,0.0000,0.0000,0.0000,0.2110,0.0000,200,0.9128
0.3539,0.0000,0.0000,0.0000,0.3538,0.0000,200,0.8165
0.2368,0.0000,0.0000,0.0000,0.2367,0.0000,200,0.9584
1.1932,0.0368,0.0000,0.0002,1.1561,0.0000,200,0.0142
1.2103,0.0189,0.0000,0.0007,1.1891,0.0000,200,0.0060
