response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.4914,0.0862,0.0000,0.0016,0.4035,0.0002,200,0.0064
0.4814,0.0771,0.0000,0.0033,0.4007,0.0002,200,0.0165
0.4983,0.0782,0.0000,0.0038,0.4162,0.0001,200,0.0157
0.5680,0.0830,0.0000,0.0034,0.4747,0.0001,200,0.0031
0.5461,0.0256,0.0000,0.0035,0.5168,0.0001,200,0.0850
0.6194,0.0857,0.0000,0.0054,0.5282,0.0001,200,0.0121
0.6428,0.0883,0.0000,0.0033,0.5510,0.0001,200,0.0044
0.5959,0.0470,0.0000,0.0073,0.5414,0.0001,200,0.0518
0.5686,0.0217,0.0000,0.0078,0.5390,0.0000,200,0.0799
0.6586,0.0835,0.0000,0.0039,0.5712,0.0001,200,0.0095
0.6621,0.0846,0.0000,0.0193,0.5581,0.0000,200,0.0063
0.6648,0.0886,0.0000,0.0174,0.5588,0.0000,200,0.0039
0.6167,0.0455,0.0000,0.0064,0.5647,0.0000,200,0.0529
0.7066,0.0856,0.0000,0.0199,0.6011,0.0001,200,0.0062
0.6583,0.0440,0.0000,0.0045,0.6098,0.0001,200,0.0548
0.6574,0.0425,0.0000,0.0130,0.6019,0.0000,200,0.0558
0.2515,0.0000,0.0000,0.0000,0.2514,0.0001,200,0.5140
0.7114,0.0445,0.0000,0.0048,0.6621,0.0000,200,0.0545
0.7515,0.0822,0.0000,0.0038,0.6654,0.0000,200,0.0144
0.7120,0.0448,0.0000,0.0047,0.6624,0.0001,200,0.0542
0.2684,0.0000,0.0000,0.0000,0.2684,0.0000,200,0.4979
0.2687,0.0000,0.0000,0.0000,0.2686,0.0000,200,0.4979
0.4144,0.0000,0.0000,0.0000,0.4143,0.0001,200,0.5711
0.3384,0.0000,0.0000,0.0000,0.3383,0.0000,200,0.6472
0.9732,0.0883,0.0000,0.0027,0.8822,0.0000,200,0.0125
1.0322,0.0846,0.0000,0.0193,0.9244,0.0001,200,0.0025
1.0323,0.0845,0.0000,0.0192,0.9247,0.0001,200,0.0025
0.9814,0.0462,0.0000,0.0055,0.9296,0.0001,200,0.0535
1.0210,0.0785,0.0000,0.0161,0.9264,0.0000,200,0.0155
0.9727,0.0191,0.0000,0.0054,0.9480,0.0001,200,0.0816
1.0503,0.0843,0.0000,0.0046,0.9613,0.0000,200,0.0043
1.0025,0.0464,0.0000,0.0070,0.9489,0.0001,200,0.0523
1.0437,0.0811,0.0000,0.0022,0.9604,0.0000,200,0.0111
1.0465,0.0822,0.0000,0.0193,0.9450,0.0000,200,0.0087
1.0439,0.0806,0.0000,0.0020,0.9611,0.0001,200,0.0113
1.0360,0.0734,0.0000,0.0017,0.9609,0.0000,200,0.0192
1.0464,0.0776,0.0000,0.0038,0.9649,0.0000,200,0.0090
1.0525,0.0819,0.0000,0.0038,0.9550,0.0000,200,0.0029
0.9979,0.0440,0.0000,0.0037,0.9501,0.0001,200,0.0575
1.0033,0.0462,0.0000,0.0067,0.9504,0.0000,200,0.0524
1.0442,0.0801,0.0000,0.0019,0.9622,0.0000,200,0.0116
1.0444,0.0804,0.0000,0.0019,0.9621,0.0000,200,0.0115
1.0029,0.0460,0.0000,0.0053,0.9513,0.0000,200,0.0533
