response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0564,0.0009,0.0000,0.0002,0.0544,0.0001,200,0.0025
0.1071,0.0006,0.0000,0.0001,0.1063,0.0001,200,0.0034
0.1072,0.0006,0.0000,0.0002,0.1064,0.0000,200,0.0034
0.1129,0.0008,0.0000,0.0002,0.1112,0.0001,200,0.0027
0.1160,0.0012,0.0000,0.0002,0.1145,0.0000,200,0.0025
0.1150,0.0004,0.0000,0.0002,0.1143,0.0001,200,0.0035
0.1201,0.0010,0.0000,0.0003,0.1188,0.0000,200,0.0031
0.1203,0.0006,0.0000,0.0001,0.1195,0.0000,200,0.0031
0.1244,0.0007,0.0000,0.0002,0.1232,0.0000,200,0.0027
0.1240,0.0007,0.0000,0.0001,0.1232,0.0000,200,0.0036
0.1250,0.0008,0.0000,0.0000,0.1233,0.0000,200,0.0027
0.1253,0.0004,0.0000,0.0001,0.1218,0.0000,200,0.0025
0.1514,0.0008,0.0000,0.0003,0.1503,0.0000,200,0.0033
0.1522,0.0013,0.0000,0.0002,0.1506,0.0000,200,0.0026
0.1515,0.0008,0.0000,0.0002,0.1504,0.0001,200,0.0032
0.1158,0.0000,0.0000,0.0000,0.1157,0.0001,200,0.1186
0.2404,0.0005,0.0000,0.0004,0.2370,0.0001,200,0.0025
0.2406,0.0007,0.0000,0.0005,0.2371,0.0000,200,0.0025
0.2447,0.0006,0.0000,0.0002,0.2414,0.0000,200,0.0025
0.2451,0.0004,0.0000,0.0001,0.2418,0.0000,200,0.0025
0.2451,0.0008,0.0000,0.0006,0.2414,0.0000,200,0.0025
0.2463,0.0003,0.0000,0.0003,0.2431,0.0000,200,0.0025
0.2508,0.0004,0.0000,0.0003,0.2476,0.0000,200,0.0025
0.2513,0.0008,0.0000,0.0006,0.2477,0.0001,200,0.0025
0.2685,0.0000,0.0000,0.0000,0.1607,0.0001,200,0.0028
0.3141,0.0005,0.0000,0.0004,0.3107,0.0001,200,0.0025
0.1993,0.0000,0.0000,0.0000,0.1992,0.0001,200,0.1277
0.2089,0.0000,0.0000,0.0000,0.2089,0.0000,200,0.1186
0.2207,0.0000,0.0000,0.0000,0.2206,0.0000,200,0.1105
0.2036,0.0000,0.0000,0.0000,0.2035,0.0000,200,0.1277
0.2100,0.0000,0.0000,0.0000,0.2100,0.0000,200,0.1232
0.2004,0.0000,0.0000,0.0000,0.2003,0.0001,200,0.1548
0.1483,0.0000,0.0000,0.0000,0.1482,0.0001,200,0.2429
0.2806,0.0000,0.0000,0.0000,0.2802,0.0001,200,0.1105
0.2742,0.0000,0.0000,0.0000,0.2741,0.0000,200,0.1278
0.1778,0.0000,0.0000,0.0000,0.1777,0.0001,200,0.2472
0.2703,0.0000,0.0000,0.0000,0.2703,0.0000,200,0.1548
0.1719,0.0000,0.0000,0.0000,0.1718,0.0000,200,0.2533
0.2775,0.0000,0.0000,0.0000,0.2775,0.0000,200,0.1547
0.3051,0.0000,0.0000,0.0000,0.3051,0.0000,200,0.1272
0.2078,0.0000,0.0000,0.0000,0.2077,0.0001,200,0.2344
0.1944,0.0000,0.0000,0.0000,0.1944,0.0000,200,0.2488
0.3277,0.0000,0.0000,0.0000,0.3277,0.0000,200,0.1156
0.1958,0.0000,0.0000,0.0000,0.1957,0.0000,200,0.2476
0.1958,0.0000,0.0000,0.0000,0.1958,0.0000,200,0.2476
0.4698,0.0011,0.0000,0.0008,0.4658,0.0001,200,0.0025
0.3489,0.0000,0.0000,0.0000,0.3488,0.0000,200,0.1234
0.2186,0.0000,0.0000,0.0000,0.2186,0.0000,200,0.2538
0.2356,0.0000,0.0000,0.0000,0.2356,0.0000,200,0.2431
0.2007,0.0000,0.0000,0.0000,0.2006,0.0001,200,0.3270
0.2112,0.0000,0.0000,0.0000,0.2111,0.0000,200,0.3166
0.1727,0.0000,0.0000,0.0000,0.1726,0.0001,200,0.3552
0.2147,0.0000,0.0000,0.0000,0.2146,0.0000,200,0.3275
0.2709,0.0000,0.0000,0.0000,0.2708,0.0000,200,0.2713
0.1225,0.0000,0.0000,0.0000,0.1224,0.0000,200,0.4432
0.1745,0.0000,0.0000,0.0000,0.1744,0.0001,200,0.3912
0.1482,0.0000,0.0000,0.0000,0.1481,0.0000,200,0.4252
0.2498,0.0000,0.0000,0.0000,0.2497,0.0000,200,0.3312
0.2497,0.0000,0.0000,0.0000,0.2497,0.0000,200,0.3313
0.1547,0.0000,0.0000,0.0000,0.1547,0.0000,200,0.4322
0.1479,0.0000,0.0000,0.0000,0.1478,0.0000,200,0.4434
0.2580,0.0000,0.0000,0.0000,0.2580,0.0000,200,0.3333
0.5896,0.0010,0.0000,0.0007,0.5859,0.0000,200,0.0025
0.1855,0.0000,0.0000,0.0000,0.1854,0.0000,200,0.4250
0.6094,0.0005,0.0000,0.0000,0.6058,0.0000,200,0.0025
0.6495,0.0000,0.0000,0.0000,0.5934,0.0000,200,0.0028
0.2613,0.0000,0.0000,0.0000,0.2612,0.0000,200,0.3912
0.6727,0.0004,0.0000,0.0001,0.6694,0.0000,200,0.0025
0.6993,0.0019,0.0000,0.0007,0.6957,0.0000,200,0.0028
0.3002,0.0000,0.0000,0.0000,0.3001,0.0000,200,0.4019
0.6997,0.0006,0.0000,0.0001,0.6961,0.0000,200,0.0025
0.6998,0.0003,0.0000,0.0000,0.6954,0.0000,200,0.0025
0.7009,0.0006,0.0000,0.0005,0.6974,0.0000,200,0.0025
0.2563,0.0000,0.0000,0.0000,0.2562,0.0000,200,0.4724
0.2499,0.0000,0.0000,0.0000,0.2499,0.0000,200,0.4787
0.7263,0.0018,0.0000,0.0006,0.7228,0.0000,200,0.0028
0.1635,0.0000,0.0000,0.0000,0.1635,0.0000,200,0.5657
0.7271,0.0003,0.0000,0.0000,0.7226,0.0000,200,0.0025
0.2875,0.0000,0.0000,0.0000,0.2874,0.0000,200,0.4422
0.7270,0.0017,0.0000,0.0006,0.7236,0.0000,200,0.0028
0.7274,0.0004,0.0000,0.0001,0.7236,0.0000,200,0.0025
0.7275,0.0054,0.0000,0.0000,0.7216,0.0000,200,0.0025
0.7276,0.0003,0.0000,0.0000,0.7233,0.0000,200,0.0025
0.7276,0.0009,0.0000,0.0007,0.7238,0.0001,200,0.0025
0.7274,0.0006,0.0000,0.0002,0.7259,0.0000,200,0.0027
0.2869,0.0000,0.0000,0.0000,0.2869,0.0000,200,0.4433
0.2881,0.0000,0.0000,0.0000,0.2880,0.0000,200,0.4433
0.7291,0.0014,0.0000,0.0000,0.7236,0.0000,200,0.0025
0.7292,0.0003,0.0000,0.0001,0.7248,0.0000,200,0.0025
0.3005,0.0000,0.0000,0.0000,0.3005,0.0000,200,0.4323
0.2064,0.0000,0.0000,0.0000,0.2063,0.0001,200,0.5422
0.1750,0.0000,0.0000,0.0000,0.1749,0.0001,200,0.5921
0.2333,0.0000,0.0000,0.0000,0.2333,0.0000,200,0.5422
