response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.5552,0.0043,0.0000,0.0041,1.5468,0.0001,200,0.0054
1.8127,0.0024,0.0000,0.0034,1.8068,0.0001,200,0.0067
2.0854,0.0059,0.0000,0.0030,2.0765,0.0001,200,0.0043
2.3802,0.0065,0.0000,0.0036,2.3700,0.0001,200,0.0039
2.4888,0.0020,0.0000,0.0030,2.4837,0.0001,200,0.0071
2.6602,0.0064,0.0000,0.0035,2.6502,0.0001,200,0.0040
2.8340,0.0010,0.0000,0.0007,2.8322,0.0001,200,0.0085
3.1393,0.0012,0.0000,0.0002,3.1378,0.0001,200,0.0115
3.8198,0.0040,0.0000,0.0046,3.8112,0.0001,200,0.0056
3.8650,0.0049,0.0000,0.0005,3.8595,0.0001,200,0.0055
3.8662,0.0007,0.0000,0.0005,3.8650,0.0000,200,0.0087
4.1021,0.0012,0.0000,0.0008,4.1000,0.0001,200,0.0083
4.1496,0.0011,0.0000,0.0005,4.1479,0.0001,200,0.0092
4.1765,0.0015,0.0000,0.0028,4.1721,0.0001,200,0.0074
4.5271,0.0012,0.0000,0.0028,4.5231,0.0001,200,0.0076
4.5307,0.0042,0.0000,0.0039,4.5226,0.0000,200,0.0054
4.5543,0.0010,0.0000,0.0004,4.5528,0.0000,200,0.0093
4.5852,0.0035,0.0000,0.0042,4.5774,0.0001,200,0.0060
4.5882,0.0038,0.0000,0.0045,4.5798,0.0000,200,0.0057
4.5939,0.0078,0.0000,0.0040,4.5819,0.0000,200,0.0026
4.6517,0.0014,0.0000,0.0007,4.6495,0.0001,200,0.0090
4.6851,0.0005,0.0000,0.0002,4.6844,0.0000,200,0.0112
4.7083,0.0017,0.0000,0.0000,4.7065,0.0001,200,0.0144
4.8537,0.0013,0.0000,0.0009,4.8513,0.0001,200,0.0082
4.8616,0.0010,0.0000,0.0001,4.8604,0.0000,200,0.0121
4.8993,0.0070,0.0000,0.0040,4.8883,0.0000,200,0.0035
4.9191,0.0005,0.0000,0.0024,4.9162,0.0000,200,0.0080
5.0663,0.0012,0.0000,0.0002,5.0648,0.0000,200,0.0120
5.0720,0.0030,0.0000,0.0037,5.0652,0.0000,200,0.0063
5.0760,0.0030,0.0000,0.0038,5.0692,0.0000,200,0.0063
5.2168,0.0023,0.0000,0.0032,5.2112,0.0001,200,0.0069
5.2547,0.0005,0.0000,0.0004,5.2538,0.0000,200,0.0088
5.2743,0.0019,0.0000,0.0029,5.2694,0.0001,200,0.0072
5.3003,0.0055,0.0000,0.0028,5.2919,0.0001,200,0.0046
5.3019,0.0076,0.0000,0.0041,5.2901,0.0000,200,0.0030
5.3139,0.0004,0.0000,0.0023,5.3112,0.0000,200,0.0081
5.4066,0.0007,0.0000,0.0025,5.4034,0.0001,200,0.0079
5.4479,0.0033,0.0000,0.0041,5.4405,0.0001,200,0.0061
5.4531,0.0071,0.0000,0.0042,5.4418,0.0000,200,0.0034
5.4771,0.0014,0.0000,0.0010,5.4746,0.0000,200,0.0082
5.5444,0.0008,0.0000,0.0003,5.5432,0.0001,200,0.0109
5.6445,0.0037,0.0000,0.0044,5.6363,0.0002,200,0.0058
5.6560,0.0011,0.0000,0.0007,5.6541,0.0000,200,0.0084
5.6707,0.0006,0.0000,0.0024,5.6676,0.0001,200,0.0080
5.6829,0.0037,0.0000,0.0044,5.6749,0.0000,200,0.0058
5.6971,0.0015,0.0000,0.0000,5.6863,0.0000,200,0.0056
5.7075,0.0057,0.0000,0.0029,5.6989,0.0000,200,0.0044
5.7048,0.0018,0.0000,0.0029,5.7000,0.0000,200,0.0072
5.7560,0.0045,0.0000,0.0043,5.7471,0.0001,200,0.0052
5.8120,0.0026,0.0000,0.0035,5.8057,0.0001,200,0.0066
5.8942,0.0011,0.0000,0.0001,5.8930,0.0001,200,0.0114
5.9330,0.0014,0.0000,0.0028,5.9287,0.0000,200,0.0074
5.9741,0.0011,0.0000,0.0027,5.9702,0.0000,200,0.0076
5.9746,0.0010,0.0000,0.0027,5.9709,0.0000,200,0.0077
5.9959,0.0050,0.0000,0.0025,5.9883,0.0001,200,0.0049
6.0210,0.0034,0.0000,0.0041,6.0133,0.0000,200,0.0060
6.0341,0.0011,0.0000,0.0028,6.0301,0.0000,200,0.0076
6.0772,0.0009,0.0000,0.0027,6.0736,0.0000,200,0.0077
6.1313,0.0058,0.0000,0.0029,6.1225,0.0000,200,0.0044
6.1777,0.0009,0.0000,0.0026,6.1742,0.0000,200,0.0078
6.2130,0.0079,0.0000,0.0041,6.2009,0.0000,200,0.0028
6.2214,0.0011,0.0000,0.0002,6.2201,0.0000,200,0.0116
6.2525,0.0066,0.0000,0.0037,6.2422,0.0000,200,0.0038
