response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0882,0.0332,0.0000,0.0005,0.0510,0.0001,503,0.0099
0.0849,0.0392,0.0000,0.0001,0.0455,0.0001,503,0.0168
0.0769,0.0275,0.0000,0.0001,0.0489,0.0002,503,0.0325
0.1004,0.0499,0.0000,0.0001,0.0493,0.0001,503,0.0089
0.0759,0.0260,0.0000,0.0001,0.0496,0.0000,503,0.0339
0.1016,0.0413,0.0000,0.0002,0.0564,0.0001,503,0.0102
0.1023,0.0324,0.0000,0.0001,0.0686,0.0000,503,0.0097
0.0992,0.0333,0.0000,0.0003,0.0655,0.0000,503,0.0130
0.0788,0.0346,0.0000,0.0002,0.0437,0.0002,503,0.0335
0.1037,0.0310,0.0000,0.0020,0.0693,0.0001,503,0.0093
0.1044,0.0340,0.0000,0.0004,0.0689,0.0000,503,0.0087
0.0799,0.0075,0.0000,0.0001,0.0719,0.0001,503,0.0363
0.1077,0.0370,0.0000,0.0035,0.0646,0.0008,503,0.0085
0.1057,0.0284,0.0000,0.0001,0.0734,0.0000,503,0.0108
0.1000,0.0330,0.0000,0.0051,0.0619,0.0000,503,0.0166
0.0998,0.0429,0.0000,0.0044,0.0524,0.0000,503,0.0169
0.0817,0.0247,0.0000,0.0001,0.0568,0.0000,503,0.0352
0.1066,0.0468,0.0000,0.0051,0.0511,0.0010,503,0.0106
0.0862,0.0375,0.0000,0.0002,0.0484,0.0001,503,0.0332
0.1123,0.0418,0.0000,0.0004,0.0665,0.0001,503,0.0102
0.1141,0.0427,0.0000,0.0001,0.0690,0.0001,503,0.0087
0.1158,0.0270,0.0000,0.0086,0.0800,0.0001,503,0.0161
0.1148,0.0334,0.0000,0.0001,0.0811,0.0001,503,0.0171
0.1161,0.0409,0.0000,0.0074,0.0677,0.0000,503,0.0160
0.1218,0.0290,0.0000,0.0004,0.0892,0.0000,503,0.0105
0.1229,0.0342,0.0000,0.0033,0.0820,0.0002,503,0.0099
0.1201,0.0234,0.0000,0.0040,0.0925,0.0001,503,0.0165
0.1275,0.0375,0.0000,0.0001,0.0884,0.0000,503,0.0093
0.1272,0.0259,0.0000,0.0037,0.0941,0.0000,503,0.0098
0.1320,0.0381,0.0000,0.0001,0.0932,0.0002,503,0.0087
0.1138,0.0230,0.0000,0.0002,0.0905,0.0000,503,0.0271
0.1338,0.0275,0.0000,0.0146,0.0886,0.0002,503,0.0107
0.0430,0.0000,0.0000,0.0001,0.0428,0.0001,503,0.1017
0.0330,0.0000,0.0000,0.0000,0.0327,0.0002,503,0.1120
0.1317,0.0408,0.0000,0.0001,0.0884,0.0000,503,0.0133
0.0371,0.0000,0.0000,0.0000,0.0369,0.0001,503,0.1130
0.0338,0.0000,0.0000,0.0000,0.0336,0.0001,503,0.1163
0.1414,0.0386,0.0000,0.0002,0.1002,0.0000,503,0.0087
0.1376,0.0344,0.0000,0.0001,0.1030,0.0000,503,0.0126
0.0409,0.0000,0.0000,0.0000,0.0406,0.0002,503,0.1094
0.0380,0.0000,0.0000,0.0000,0.0379,0.0001,503,0.1123
0.0338,0.0000,0.0000,0.0000,0.0335,0.0002,503,0.1166
0.0338,0.0000,0.0000,0.0000,0.0336,0.0002,503,0.1167
0.0346,0.0000,0.0000,0.0000,0.0343,0.0002,503,0.1194
0.0634,0.0000,0.0000,0.0000,0.0632,0.0001,503,0.1097
0.1572,0.0329,0.0000,0.0035,0.1207,0.0001,503,0.0163
0.1631,0.0334,0.0000,0.0001,0.1266,0.0000,503,0.0104
0.0647,0.0000,0.0000,0.0001,0.0645,0.0002,503,0.1119
0.1669,0.0423,0.0000,0.0002,0.1209,0.0000,503,0.0100
0.0448,0.0000,0.0000,0.0000,0.0447,0.0001,503,0.1321
0.0555,0.0000,0.0000,0.0001,0.0552,0.0001,503,0.1225
0.1689,0.0171,0.0000,0.0104,0.1359,0.0001,503,0.0098
0.0479,0.0000,0.0000,0.0000,0.0477,0.0001,503,0.1319
0.1708,0.0391,0.0000,0.0045,0.1262,0.0001,503,0.0095
0.0495,0.0000,0.0000,0.0002,0.0492,0.0001,503,0.1319
0.0473,0.0000,0.0000,0.0000,0.0471,0.0001,503,0.1370
0.0520,0.0000,0.0000,0.0000,0.0519,0.0001,503,0.1323
0.0464,0.0000,0.0000,0.0000,0.0463,0.0001,503,0.1407
0.1525,0.0387,0.0000,0.0002,0.1135,0.0001,503,0.0347
0.0892,0.0000,0.0000,0.0001,0.0890,0.0001,503,0.0980
0.0505,0.0000,0.0000,0.0000,0.0504,0.0000,503,0.1368
0.0427,0.0000,0.0000,0.0001,0.0426,0.0000,503,0.1450
0.0422,0.0000,0.0000,0.0001,0.0420,0.0001,503,0.1502
0.0421,0.0000,0.0000,0.0000,0.0418,0.0001,503,0.1503
0.0830,0.0000,0.0000,0.0000,0.0828,0.0001,503,0.1094
0.0558,0.0000,0.0000,0.0000,0.0556,0.0001,503,0.1366
0.0752,0.0000,0.0000,0.0000,0.0750,0.0001,503,0.1172
0.1554,0.0185,0.0000,0.0001,0.1365,0.0001,503,0.0370
0.0763,0.0000,0.0000,0.0000,0.0754,0.0001,503,0.1162
0.0756,0.0000,0.0000,0.0000,0.0754,0.0001,503,0.1169
0.0517,0.0000,0.0000,0.0000,0.0513,0.0003,503,0.1409
0.1852,0.0292,0.0000,0.0001,0.1516,0.0001,503,0.0109
0.0504,0.0000,0.0000,0.0000,0.0503,0.0001,503,0.1504
0.0525,0.0000,0.0000,0.0001,0.0523,0.0001,503,0.1501
0.1928,0.0499,0.0000,0.0002,0.1423,0.0001,503,0.0148
0.0633,0.0000,0.0000,0.0000,0.0632,0.0001,503,0.1505
0.0886,0.0000,0.0000,0.0000,0.0885,0.0000,503,0.1328
0.1927,0.0413,0.0000,0.0002,0.1511,0.0001,503,0.0288
0.0290,0.0000,0.0000,0.0000,0.0289,0.0001,503,0.1924
0.0714,0.0000,0.0000,0.0000,0.0712,0.0001,503,0.1501
0.1872,0.0367,0.0000,0.0001,0.1503,0.0001,503,0.0343
0.0356,0.0000,0.0000,0.0000,0.0352,0.0004,503,0.1871
0.0428,0.0000,0.0000,0.0000,0.0427,0.0000,503,0.1803
0.0339,0.0000,0.0000,0.0000,0.0338,0.0001,503,0.1924
0.0537,0.0000,0.0000,0.0001,0.0536,0.0000,503,0.1732
0.0472,0.0000,0.0000,0.0012,0.0460,0.0000,503,0.1797
0.0245,0.0000,0.0000,0.0000,0.0244,0.0000,503,0.2026
0.0348,0.0000,0.0000,0.0006,0.0337,0.0004,503,0.1926
0.0275,0.0000,0.0000,0.0001,0.0273,0.0001,503,0.2008
0.0412,0.0000,0.0000,0.0000,0.0407,0.0000,503,0.1873
0.0444,0.0000,0.0000,0.0000,0.0442,0.0001,503,0.1842
0.1912,0.0305,0.0000,0.0005,0.1601,0.0000,503,0.0374
0.0436,0.0000,0.0000,0.0000,0.0430,0.0005,503,0.1878
0.0534,0.0000,0.0000,0.0001,0.0533,0.0000,503,0.1780
0.2216,0.0381,0.0000,0.0001,0.1818,0.0001,503,0.0114
0.2166,0.0331,0.0000,0.0005,0.1829,0.0000,503,0.0165
