response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.1638,0.0406,0.0000,0.0001,3.1227,0.0003,200,0.0283
3.2250,0.0455,0.0000,0.0001,3.1788,0.0004,400,0.0235
3.2201,0.0117,0.0000,0.0002,3.2080,0.0001,400,0.0293
3.2483,0.0058,0.0000,0.0002,3.2420,0.0002,400,0.0165
3.2578,0.0351,0.0000,0.0010,3.2215,0.0001,400,0.0111
3.2537,0.0268,0.0000,0.0007,3.2259,0.0002,400,0.0195
3.2791,0.0156,0.0000,0.0001,3.2629,0.0004,400,0.0294
3.3179,0.0217,0.0000,0.0014,3.2945,0.0001,400,0.0155
3.3052,0.0222,0.0000,0.0001,3.2827,0.0001,400,0.0282
3.3263,0.0196,0.0000,0.0005,3.3058,0.0004,400,0.0115
3.3102,0.0119,0.0000,0.0003,3.2979,0.0001,400,0.0298
3.3297,0.0102,0.0000,0.0045,3.3148,0.0002,400,0.0129
3.3704,0.0340,0.0000,0.0005,3.3358,0.0001,400,0.0123
3.3781,0.0424,0.0000,0.0001,3.3355,0.0001,400,0.0104
3.3785,0.0172,0.0000,0.0003,3.3604,0.0001,400,0.0157
3.3876,0.0490,0.0000,0.0001,3.3380,0.0001,400,0.0096
3.3926,0.0241,0.0000,0.0003,3.3678,0.0002,400,0.0153
3.3999,0.0131,0.0000,0.0025,3.3841,0.0002,400,0.0241
3.4082,0.0239,0.0000,0.0001,3.3839,0.0002,400,0.0286
3.4318,0.0311,0.0000,0.0003,3.3819,0.0001,400,0.0094
3.5495,0.0353,0.0000,0.0003,3.5138,0.0001,400,0.0109
3.5418,0.0090,0.0000,0.0003,3.5322,0.0001,400,0.0191
3.5561,0.0354,0.0000,0.0004,3.5202,0.0002,400,0.0117
3.5615,0.0376,0.0000,0.0003,3.5234,0.0001,400,0.0095
3.5495,0.0247,0.0000,0.0001,3.5245,0.0001,400,0.0274
3.5575,0.0117,0.0000,0.0002,3.5453,0.0001,400,0.0214
3.5626,0.0146,0.0000,0.0002,3.5477,0.0001,400,0.0164
3.5521,0.0178,0.0000,0.0001,3.5340,0.0001,400,0.0279
3.5695,0.0073,0.0000,0.0010,3.5605,0.0007,400,0.0129
3.5581,0.0328,0.0000,0.0003,3.5248,0.0001,400,0.0254
3.5679,0.0230,0.0000,0.0004,3.5441,0.0002,400,0.0160
3.5684,0.0142,0.0000,0.0002,3.5538,0.0001,400,0.0199
3.5676,0.0481,0.0000,0.0001,3.5192,0.0001,400,0.0214
3.6578,0.0093,0.0000,0.0006,3.6477,0.0001,400,0.0289
3.6791,0.0118,0.0000,0.0012,3.6657,0.0002,400,0.0266
3.7890,0.0356,0.0000,0.0001,3.7518,0.0002,400,0.0091
3.7864,0.0333,0.0000,0.0001,3.7528,0.0001,400,0.0121
3.7865,0.0202,0.0000,0.0009,3.7651,0.0002,400,0.0126
3.7895,0.0365,0.0000,0.0003,3.7526,0.0001,400,0.0105
3.7843,0.0286,0.0000,0.0001,3.7553,0.0001,400,0.0216
3.7951,0.0326,0.0000,0.0003,3.7621,0.0001,400,0.0112
3.8018,0.0311,0.0000,0.0001,3.7681,0.0001,400,0.0136
3.7998,0.0283,0.0000,0.0002,3.7711,0.0001,400,0.0158
0.6247,0.0000,0.0000,0.0001,0.6245,0.0001,400,3.1921
3.7877,0.0097,0.0000,0.0002,3.7777,0.0001,400,0.0298
3.8081,0.0101,0.0000,0.0002,3.7976,0.0001,400,0.0108
3.8069,0.0097,0.0000,0.0020,3.7949,0.0001,400,0.0131
3.8176,0.0162,0.0000,0.0021,3.7966,0.0001,400,0.0096
3.8315,0.0334,0.0000,0.0002,3.7977,0.0002,400,0.0112
3.8271,0.0205,0.0000,0.0002,3.8062,0.0001,400,0.0217
4.3175,0.0452,0.0000,0.0001,4.2721,0.0001,400,0.0238
5.0726,0.0000,0.0000,0.0001,5.0723,0.0001,200,3.3943
5.1903,0.0000,0.0000,0.0001,5.1901,0.0001,400,3.3400
5.1138,0.0000,0.0000,0.0001,5.1136,0.0001,400,3.4240
4.9724,0.0000,0.0000,0.0001,4.9721,0.0002,400,3.5678
4.7412,0.0000,0.0000,0.0001,4.7409,0.0001,400,3.7991
4.9823,0.0000,0.0000,0.0001,4.9821,0.0001,400,3.5605
4.7425,0.0000,0.0000,0.0001,4.7418,0.0003,400,3.8059
5.3019,0.0000,0.0000,0.0000,5.3017,0.0001,400,3.2485
5.1173,0.0000,0.0000,0.0000,5.1170,0.0003,400,3.4368
4.7408,0.0000,0.0000,0.0001,4.7404,0.0003,400,3.8189
5.1529,0.0000,0.0000,0.0001,5.1526,0.0002,400,3.4079
4.7479,0.0000,0.0000,0.0001,4.7475,0.0002,400,3.8168
4.9860,0.0000,0.0000,0.0000,4.9859,0.0001,400,3.5790
4.8785,0.0000,0.0000,0.0001,4.8782,0.0001,400,3.6867
4.9819,0.0000,0.0000,0.0000,4.9817,0.0001,400,3.5835
4.9884,0.0000,0.0000,0.0000,4.9882,0.0001,400,3.5800
4.7531,0.0000,0.0000,0.0000,4.7530,0.0001,400,3.8200
5.1781,0.0000,0.0000,0.0000,5.1779,0.0001,400,3.3973
5.1890,0.0000,0.0000,0.0001,5.1881,0.0007,400,3.3885
4.7796,0.0000,0.0000,0.0000,4.7794,0.0001,400,3.7981
4.9899,0.0000,0.0000,0.0000,4.9898,0.0001,400,3.5890
4.7365,0.0000,0.0000,0.0001,4.7363,0.0001,400,3.8427
4.7741,0.0000,0.0000,0.0001,4.7739,0.0001,400,3.8063
5.3188,0.0000,0.0000,0.0001,5.3186,0.0001,400,3.2648
4.7677,0.0000,0.0000,0.0000,4.7674,0.0002,400,3.8175
4.7702,0.0000,0.0000,0.0002,4.7698,0.0001,400,3.8157
5.0145,0.0000,0.0000,0.0001,5.0142,0.0001,400,3.5769
5.3186,0.0000,0.0000,0.0001,5.3184,0.0001,400,3.2731
5.0080,0.0000,0.0000,0.0000,5.0078,0.0001,400,3.5839
5.0039,0.0000,0.0000,0.0001,5.0036,0.0001,400,3.5883
5.0100,0.0000,0.0000,0.0001,5.0099,0.0001,400,3.5824
4.7717,0.0000,0.0000,0.0001,4.7714,0.0002,400,3.8272
5.1583,0.0000,0.0000,0.0000,5.1581,0.0001,400,3.4412
4.8992,0.0000,0.0000,0.0000,4.8989,0.0001,400,3.7057
5.3559,0.0000,0.0000,0.0001,5.3557,0.0001,400,3.2494
5.0283,0.0000,0.0000,0.0000,5.0281,0.0001,400,3.5789
5.3386,0.0000,0.0000,0.0000,5.3385,0.0001,400,3.2688
5.2708,0.0000,0.0000,0.0001,5.2704,0.0003,400,3.3378
4.8110,0.0000,0.0000,0.0000,4.8108,0.0001,400,3.7985
4.8104,0.0000,0.0000,0.0001,4.8098,0.0005,400,3.8000
4.7622,0.0000,0.0000,0.0000,4.7621,0.0001,400,3.8488
5.3027,0.0000,0.0000,0.0000,5.3025,0.0001,400,3.3085
5.2974,0.0000,0.0000,0.0002,5.2971,0.0001,400,3.3335
4.8177,0.0000,0.0000,0.0000,4.8175,0.0001,400,3.8154
5.0650,0.0000,0.0000,0.0000,5.0648,0.0001,400,3.5711
4.3741,0.0000,0.0000,0.0003,4.3737,0.0001,400,4.3413
5.4746,0.0000,0.0000,0.0001,5.4741,0.0003,400,3.3334
5.4654,0.0000,0.0000,0.0001,5.4652,0.0001,400,3.3426
5.2475,0.0000,0.0000,0.0001,5.2473,0.0001,400,3.5609
5.4292,0.0000,0.0000,0.0001,5.4289,0.0001,400,3.3827
6.1759,0.0000,0.0000,0.0001,6.1754,0.0003,400,8.5804
6.2539,0.0000,0.0000,0.0000,6.2537,0.0001,400,8.5597
6.2509,0.0000,0.0000,0.0002,6.2504,0.0002,400,8.5652
6.2517,0.0000,0.0000,0.0000,6.2514,0.0001,400,8.6049
6.0536,0.0000,0.0000,0.0000,6.0532,0.0002,400,8.8084
6.3243,0.0000,0.0000,0.0001,6.3241,0.0001,400,8.5403
6.2622,0.0000,0.0000,0.0000,6.2620,0.0001,400,8.6053
6.2787,0.0000,0.0000,0.0001,6.2783,0.0002,400,8.5917
6.3194,0.0000,0.0000,0.0001,6.3192,0.0001,400,8.5608
6.2692,0.0000,0.0000,0.0000,6.2690,0.0001,400,8.6112
6.2517,0.0000,0.0000,0.0001,6.2514,0.0002,400,8.6309
6.3132,0.0000,0.0000,0.0000,6.3130,0.0001,400,8.5731
6.2582,0.0000,0.0000,0.0001,6.2579,0.0002,400,8.6331
6.3065,0.0000,0.0000,0.0001,6.3062,0.0001,400,8.5852
6.3440,0.0000,0.0000,0.0001,6.3437,0.0001,400,8.5484
6.3388,0.0000,0.0000,0.0001,6.3386,0.0001,400,8.5541
6.0836,0.0000,0.0000,0.0001,6.0833,0.0001,400,8.8119
6.3085,0.0000,0.0000,0.0000,6.3083,0.0001,400,8.5919
6.3400,0.0000,0.0000,0.0000,6.3397,0.0002,400,8.5648
6.3080,0.0000,0.0000,0.0001,6.3077,0.0002,400,8.5995
6.3156,0.0000,0.0000,0.0001,6.3151,0.0001,400,8.6086
6.3743,0.0000,0.0000,0.0001,6.3741,0.0001,400,8.5503
6.3432,0.0000,0.0000,0.0000,6.3430,0.0001,400,8.5836
6.3173,0.0000,0.0000,0.0001,6.3170,0.0002,400,8.6110
6.3319,0.0000,0.0000,0.0001,6.3316,0.0001,400,8.5989
6.3554,0.0000,0.0000,0.0000,6.3550,0.0002,400,8.5777
6.2202,0.0000,0.0000,0.0000,6.2199,0.0003,400,8.7155
6.4693,0.0000,0.0000,0.0001,6.4691,0.0001,400,8.4668
6.3440,0.0000,0.0000,0.0000,6.3438,0.0001,400,8.5924
6.3319,0.0000,0.0000,0.0000,6.3315,0.0003,400,8.6104
6.4136,0.0000,0.0000,0.0000,6.4133,0.0001,400,8.5304
6.3463,0.0000,0.0000,0.0002,6.3459,0.0002,400,8.6075
6.4257,0.0000,0.0000,0.0000,6.4255,0.0001,400,8.5428
6.4116,0.0000,0.0000,0.0001,6.4112,0.0002,400,8.5651
6.1799,0.0000,0.0000,0.0001,6.1796,0.0002,400,8.8080
6.4577,0.0000,0.0000,0.0001,6.4573,0.0003,400,8.5378
6.4318,0.0000,0.0000,0.0000,6.4314,0.0003,400,8.5774
6.4446,0.0000,0.0000,0.0000,6.4443,0.0003,400,8.5683
6.4439,0.0000,0.0000,0.0000,6.4436,0.0002,400,8.5793
6.5723,0.0000,0.0000,0.0001,6.5717,0.0003,400,8.5858
6.6190,0.0000,0.0000,0.0000,6.6186,0.0003,400,8.5403
6.6522,0.0000,0.0000,0.0001,6.6519,0.0001,400,8.5922
