response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.6883,0.0164,0.0000,0.0001,2.6697,0.0002,200,0.0110
2.7118,0.0227,0.0000,0.0003,2.6881,0.0002,400,0.0110
2.7152,0.0177,0.0000,0.0002,2.6970,0.0002,400,0.0118
2.7160,0.0228,0.0000,0.0002,2.6924,0.0001,400,0.0110
2.7163,0.0269,0.0000,0.0002,2.6886,0.0001,400,0.0110
2.7196,0.0230,0.0000,0.0002,2.6962,0.0002,400,0.0118
2.7212,0.0227,0.0000,0.0001,2.6981,0.0002,400,0.0122
2.7334,0.0173,0.0000,0.0002,2.7157,0.0001,400,0.0122
2.7436,0.0181,0.0000,0.0002,2.7251,0.0002,400,0.0117
2.7484,0.0232,0.0000,0.0003,2.7247,0.0001,400,0.0109
0.1782,0.0000,0.0000,0.0001,0.1779,0.0001,400,2.7229
0.1802,0.0000,0.0000,0.0000,0.1800,0.0001,400,2.7455
0.3310,0.0000,0.0000,0.0000,0.3308,0.0002,400,2.7273
0.3676,0.0000,0.0000,0.0001,0.3673,0.0002,400,2.7333
0.4269,0.0000,0.0000,0.0000,0.4266,0.0002,400,2.7270
0.4012,0.0000,0.0000,0.0000,0.4011,0.0001,400,2.7593
0.4902,0.0000,0.0000,0.0001,0.4899,0.0001,400,2.6992
0.5538,0.0000,0.0000,0.0000,0.5533,0.0003,400,2.7271
0.4065,0.0000,0.0000,0.0001,0.4062,0.0001,400,2.9257
0.2793,0.0000,0.0000,0.0003,0.2788,0.0001,400,3.1605
0.7277,0.0000,0.0000,0.0000,0.7275,0.0001,400,2.7314
0.5725,0.0000,0.0000,0.0001,0.5722,0.0001,400,2.9010
0.4162,0.0000,0.0000,0.0000,0.4160,0.0001,400,3.0583
0.3927,0.0000,0.0000,0.0001,0.3924,0.0002,400,3.1009
0.8365,0.0000,0.0000,0.0001,0.8363,0.0001,400,2.7554
0.4811,0.0000,0.0000,0.0000,0.4809,0.0001,400,3.4591
0.6083,0.0000,0.0000,0.0000,0.6080,0.0003,400,3.3322
0.8135,0.0000,0.0000,0.0001,0.8131,0.0003,400,3.1894
0.9771,0.0000,0.0000,0.0000,0.9768,0.0002,400,3.1538
0.7144,0.0000,0.0000,0.0000,0.7133,0.0009,400,3.4398
